date,inflation
01.12.2017,0.4
01.01.2018,0.3
01.02.2018,0.2
01.03.2018,0.3
01.04.2018,0.4
01.05.2018,0.4
01.06.2018,0.5
01.07.2018,0.3
01.08.2018,0.0
01.09.2018,0.2
01.10.2018,0.4
01.11.2018,0.5
01.12.2018,0.8
01.01.2019,1.0
01.02.2019,0.4
01.03.2019,0.3
01.04.2019,0.3
01.05.2019,0.3
01.06.2019,0.0
01.07.2019,0.2
01.08.2019,-0.2
01.09.2019,-0.2
01.10.2019,0.1
01.11.2019,0.3
01.12.2019,0.4
